Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/orders,9,0,25,44.004700443312885,20.915298999170773,188.147287000902,396.0,0.35709335498151457,0.0,25,27,28,38,190,190,190,190,190,190,190
GET,/orders/ORD-03a3e5097c824180b0d4c6aa10e86381,1,0,8.455172996036708,8.455172996036708,8.455172996036708,8.455172996036708,395.0,0.03967703944239051,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/orders/ORD-0ef672a4e80443778ca47172b71c4e60,1,0,7.584699000290129,7.584699000290129,7.584699000290129,7.584699000290129,395.0,0.03967703944239051,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/orders/ORD-24a5f2e9cb0d40b99ecdcd83079c3d36,1,0,7.029020998743363,7.029020998743363,7.029020998743363,7.029020998743363,395.0,0.03967703944239051,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/orders/ORD-444689592daa4d658afea1cc82659018,1,0,11.13261600403348,11.13261600403348,11.13261600403348,11.13261600403348,395.0,0.03967703944239051,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/orders/ORD-4f5845b5807a4966a2eeb5f68d9ecf5c,1,0,8.626351998827886,8.626351998827886,8.626351998827886,8.626351998827886,395.0,0.03967703944239051,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/orders/ORD-8689e0f9ff7241baa9486d5357033b2f,1,0,8.122606996039394,8.122606996039394,8.122606996039394,8.122606996039394,395.0,0.03967703944239051,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/orders/ORD-cf925c57e9e74a46909256908099c224,1,0,6.780370997148566,6.780370997148566,6.780370997148566,6.780370997148566,395.0,0.03967703944239051,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/orders/ORD-d10cfee018454b20baf3a6ec6e821820,1,0,7.448741998814512,7.448741998814512,7.448741998814512,7.448741998814512,395.0,0.03967703944239051,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/orders/ORD-deb8ef1c415944a4ad20097e5c91e58f,1,0,7.6250980055192485,7.6250980055192485,7.6250980055192485,7.6250980055192485,395.0,0.03967703944239051,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/orders?state=draft,4,0,51,55.43169274824322,47.89111999707529,64.83979299810017,10622.0,0.15870815776956204,0.0,58,58,65,65,65,65,65,65,65,65,65
,Aggregated,22,0,23,31.3897160899201,6.780370997148566,188.147287000902,2254.8636363636365,0.8728948677325912,0.0,23,27,38,48,58,65,190,190,190,190,190
